ID_REF	VALUE	0
AFFX-BioB-5_at	17.0
AFFX-BioB-M_at	-229.0
AFFX-BioB-3_at	79.0
AFFX-BioC-5_at	218.0
AFFX-BioC-3_at	-262.0
AFFX-BioDn-5_at	-404.0
AFFX-BioDn-3_at	326.0
AFFX-CreX-5_at	-201.0
AFFX-CreX-3_at	6.0
AFFX-BioB-5_st	469.0
AFFX-BioB-M_st	-127.0
AFFX-BioB-3_st	-539.0
AFFX-BioC-5_st	-95.0
AFFX-BioC-3_st	-114.0
AFFX-BioDn-5_st	171.0
AFFX-BioDn-3_st	99.0
AFFX-CreX-5_st	-102.0
AFFX-CreX-3_st	-541.0
hum_alu_at	6479.0
AFFX-DapX-5_at	22.0
AFFX-DapX-M_at	171.0
AFFX-DapX-3_at	-129.0
AFFX-LysX-5_at	-30.0
AFFX-LysX-M_at	-205.0
AFFX-LysX-3_at	36.0
AFFX-PheX-5_at	-109.0
AFFX-PheX-M_at	-101.0
AFFX-PheX-3_at	61.0
AFFX-ThrX-5_at	-5.0
AFFX-ThrX-M_at	62.0
AFFX-ThrX-3_at	-192.0
AFFX-TrpnX-5_at	8.0
AFFX-TrpnX-M_at	-992.0
AFFX-TrpnX-3_at	-296.0
AFFX-HUMISGF3A/M97935_5_at	-273.0
AFFX-HUMISGF3A/M97935_MA_at	-97.0
AFFX-HUMISGF3A/M97935_MB_at	448.0
AFFX-HUMISGF3A/M97935_3_at	2822.0
AFFX-HUMRGE/M10098_5_at	70.0
AFFX-HUMRGE/M10098_M_at	-233.0
AFFX-HUMRGE/M10098_3_at	-364.0
AFFX-HUMGAPDH/M33197_5_at	12701.0
AFFX-HUMGAPDH/M33197_M_at	10592.0
AFFX-HUMGAPDH/M33197_3_at	15580.0
AFFX-HSAC07/X00351_5_at	10471.0
AFFX-HSAC07/X00351_M_at	16259.0
AFFX-HSAC07/X00351_3_at	15428.0
AFFX-HUMTFRR/M11507_5_at	294.0
AFFX-HUMTFRR/M11507_M_at	147.0
AFFX-HUMTFRR/M11507_3_at	264.0
AFFX-M27830_5_at	318.0
AFFX-M27830_M_at	912.0
AFFX-M27830_3_at	832.0
AFFX-HSAC07/X00351_3_st	1865.0
AFFX-HUMGAPDH/M33197_5_st	-120.0
AFFX-HUMGAPDH/M33197_M_st	247.0
AFFX-HUMGAPDH/M33197_3_st	327.0
AFFX-HSAC07/X00351_5_st	-437.0
AFFX-HSAC07/X00351_M_st	57.0
A28102_at	639.0
AB000114_at	83.0
AB000115_at	2194.0
AB000220_at	40.0
AB000409_at	11.0
AB000449_at	813.0
AB000450_at	199.0
AB000460_at	2702.0
AB000462_at	237.0
AB000464_at	1258.0
AB000466_at	-851.0
AB000467_at	-580.0
AB000468_at	857.0
AB000584_at	-645.0
AB000895_at	393.0
AB000896_at	-224.0
AB000897_at	-109.0
AB000905_at	163.0
AB001106_at	833.0
AB001325_at	920.0
AB002314_at	41.0
AB002315_at	326.0
AB002318_at	2048.0
AB002365_at	260.0
AB002366_at	-14.0
AB002380_at	367.0
AB002382_at	997.0
AB002409_at	14.0
AB002559_at	1251.0
AB003102_at	1236.0
AB003103_at	453.0
AB003177_at	1296.0
AB003698_at	419.0
AB004884_at	1882.0
AB006190_at	935.0
AC000061_cds2_at	295.0
AC000061_cds3_at	-134.0
AC000062_at	15.0
AC000064_cds1_at	452.0
AC000064_cds2_at	202.0
AC000066_at	44.0
AC000099_at	169.0
AC000115_cds1_at	-63.0
AC002045_xpt1_at	343.0
AC002073_cds1_at	102.0
AC002077_at	19.0
AC002086_at	74.0
AC002115_cds1_at	7634.0
AC002115_cds3_at	443.0
AC002115_cds4_at	-2070.0
AC002115_rna2_at	1000.0
AC002450_at	118.0
AC002464_at	-310.0
AC002486_at	91.0
AD000092_cds1_at	-461.0
AD000092_cds2_at	-995.0
AD000684_cds1_at	-100.0
AD001527_cds1_at	220.0
AF000177_at	382.0
AF000231_at	704.0
AF000234_at	-668.0
